province_fa,city_fa,province_en,city_en
آذربایجان شرقی,آبش احمد,East Azerbaijan,Abeshahmad
آذربایجان شرقی,آذرشهر,East Azerbaijan,Azarshahr
آذربایجان شرقی,آقکند,East Azerbaijan,Aq kand
آذربایجان شرقی,اچاچی,East Azerbaijan,Achachi
آذربایجان شرقی,اسکو,East Azerbaijan,Osku
آذربایجان شرقی,اهر,East Azerbaijan,Ahar
آذربایجان شرقی,ایلخچی,East Azerbaijan,Ilkhchi
آذربایجان شرقی,باسمنج,East Azerbaijan,Basmenj
آذربایجان شرقی,بخشایش,East Azerbaijan,Bakhshayesh
آذربایجان شرقی,بستان آباد,East Azerbaijan,Bostan Abad
آذربایجان شرقی,بناب,East Azerbaijan,Bonab
آذربایجان شرقی,بناب مرند,East Azerbaijan,Benab-e Marand
آذربایجان شرقی,تبریز,East Azerbaijan,Tabriz
آذربایجان شرقی,ترک,East Azerbaijan,Terek
آذربایجان شرقی,ترکمانچای,East Azerbaijan,Torkamanchay
آذربایجان شرقی,تسوج,East Azerbaijan,Tasuj
آذربایجان شرقی,تیکمه داش,East Azerbaijan,Tikmedash
آذربایجان شرقی,تیمورلو,East Azerbaijan,Teymurlu
آذربایجان شرقی,جلفا,East Azerbaijan,Jolfa
آذربایجان شرقی,جوان قلعه,East Azerbaijan,Javan Qaleh
آذربایجان شرقی,خاروانا,East Azerbaijan,Kharvana
آذربایجان شرقی,خامنه,East Azerbaijan,Khamaneh
آذربایجان شرقی,خداجو(خراجو),East Azerbaijan,Kharaju
آذربایجان شرقی,خسروشاه,East Azerbaijan,Khosrowshah
آذربایجان شرقی,خمارلو,East Azerbaijan,Khumarlu
آذربایجان شرقی,خواجه,East Azerbaijan,Khajeh
آذربایجان شرقی,دوزدوزان,East Azerbaijan,Duzduzan
آذربایجان شرقی,زرنق,East Azerbaijan,Zarnaq
آذربایجان شرقی,زنوز,East Azerbaijan,Zonuz
آذربایجان شرقی,سراب,East Azerbaijan,Sarab
آذربایجان شرقی,سردرود,East Azerbaijan,Sard Rud
آذربایجان شرقی,سهند,East Azerbaijan,Sahand
آذربایجان شرقی,سیس,East Azerbaijan,Sis
آذربایجان شرقی,سیه رود,East Azerbaijan,Siyahrud
آذربایجان شرقی,شبستر,East Azerbaijan,Shabistar
آذربایجان شرقی,شربیان,East Azerbaijan,Sharabiyan
آذربایجان شرقی,شرفخانه,East Azerbaijan,Sharafkhaneh
آذربایجان شرقی,شندآباد,East Azerbaijan,Shendabad
آذربایجان شرقی,صوفیان,East Azerbaijan,Sufian
آذربایجان شرقی,عجب شیر,East Azerbaijan,Ajabshir
آذربایجان شرقی,قره آغاج,East Azerbaijan,Qareh Aghaj
آذربایجان شرقی,کشکسرای,East Azerbaijan,Koshksaray
آذربایجان شرقی,کلوانق,East Azerbaijan,Kalvanaq
آذربایجان شرقی,کلیبر,East Azerbaijan,Kaleybar
آذربایجان شرقی,کوزه کنان,East Azerbaijan,Kuzekonan
آذربایجان شرقی,گوگان,East Azerbaijan,Gugan
آذربایجان شرقی,لیلان,East Azerbaijan,Leylan
آذربایجان شرقی,مبارک شهر,East Azerbaijan,Mobarak Shahr
